id	name	description	imagepath	duration	mana
201	Potion of Turtle Master	It won't last long	card/image/spell/swap/PotionofTurtleMaster.png	1	1
202	Potion of Bargaining	The third stage of grief	card/image/spell/swap/PotionofBargaining.png	2	2
203	Cat Food	Disclaimer: includes catnip	card/image/spell/swap/CatFood.png	3	3
204	Cooked Beef Juice	100% vegan	card/image/spell/swap/CookedBeefJuice.png	4	4
205	Ghast Tears	Ghast's sorrowful tears	card/image/spell/swap/GhastTears.png	5	5
206	Detergent	Mixture of surfactants with cleansing properties	card/image/spell/swap/Detergent.png	6	6
207	Axolotl Blood	Swaps health and attack	card/image/spell/swap/AxolotlBlood.png	7	7
208	Morning's Blessing	God of Riches' blessing	card/image/spell/swap/Morning'sBlessing.png	8	8
209	Swab Test	To check if you dont have Coronavirus	card/image/spell/swap/SwabTest.png	9	9
210	Bone Marrow	To produce red blood cells	card/image/spell/swap/BoneMarrow.png	10	10
